,DATE_REPORTED,DATE_OCCURRED,TIME_OCCURRED,PATROL_DIVISION,AREA_NAME,CRIME_CODE,CRIME_DESCRIPTION,VICTIM_AGE,VICTIM_SEX,VICTIM_RACE,PREMISE,LAT,LON
180,2010-03-23,2010-03-20,1215,1.0,Central,647,THROWING OBJECT AT MOVING VEHICLE,26,M,B,"VEHICLE, PASSENGER/TRUCK",34.0627,-118.2463
181,2010-03-21,2010-03-21,320,1.0,Central,330,BURGLARY FROM VEHICLE,48,M,O,STREET,34.0635,-118.2458
182,2010-03-21,2010-03-21,1000,11.0,Northeast,946,OTHER MISCELLANEOUS CRIME,0,M,W,SIDEWALK,34.0917,-118.2741
183,2010-03-21,2010-03-21,1315,1.0,Central,624,BATTERY - SIMPLE ASSAULT,65,M,W,SINGLE FAMILY DWELLING,34.0452,-118.2534
184,2010-03-22,2010-03-22,1330,1.0,Central,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),23,M,B,DEPARTMENT STORE,34.048,-118.2577
185,2010-03-22,2010-03-19,1730,1.0,Central,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,5,M,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.0317,-118.2641
186,2010-03-25,2010-03-22,1915,1.0,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",49,M,W,STREET,34.0516,-118.2526
187,2010-03-24,2010-03-22,2030,1.0,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),23,M,B,OTHER BUSINESS,34.048,-118.2577
188,2010-03-25,2010-03-23,125,1.0,Central,310,BURGLARY,57,M,O,OTHER BUSINESS,34.032,-118.2667
189,2010-03-23,2010-03-23,230,1.0,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",62,M,W,SINGLE FAMILY DWELLING,34.0717,-118.2493
190,2010-03-24,2010-03-24,2015,1.0,Central,624,BATTERY - SIMPLE ASSAULT,58,M,H,SIDEWALK,34.0446,-118.245
191,2010-03-25,2010-03-25,240,1.0,Central,946,OTHER MISCELLANEOUS CRIME,32,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.0475,-118.2657
192,2010-03-27,2010-03-27,530,1.0,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,32,F,O,HOTEL,34.0454,-118.2657
193,2010-03-27,2010-03-27,1140,1.0,Central,624,BATTERY - SIMPLE ASSAULT,56,M,O,JEWELRY STORE,34.0474,-118.2531
194,2010-03-27,2010-03-26,1500,1.0,Central,946,OTHER MISCELLANEOUS CRIME,46,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.0496,-118.2458
195,2010-03-28,2010-03-28,55,1.0,Central,251,SHOTS FIRED AT INHABITED DWELLING,18,F,B,WAREHOUSE,34.0449,-118.2415
196,2010-03-28,2010-03-28,100,1.0,Central,946,OTHER MISCELLANEOUS CRIME,45,M,W,RESTAURANT/FAST FOOD,34.045,-118.264
197,2010-04-01,2010-03-29,2320,1.0,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,M,O,OTHER BUSINESS,34.0373,-118.2503
198,2010-03-31,2010-03-31,1515,1.0,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,59,M,H,SINGLE FAMILY DWELLING,34.0635,-118.2426
199,2010-04-03,2010-04-02,2230,1.0,Central,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),23,M,H,PARKING LOT,34.0416,-118.2584
200,2010-04-03,2010-04-03,1,1.0,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),31,F,O,"VEHICLE, PASSENGER/TRUCK",34.0644,-118.2387
201,2010-04-06,2010-04-05,1940,1.0,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",24,M,H,OTHER PREMISE,34.0442,-118.2439
