,DATE_REPORTED,DATE_OCCURRED,TIME_OCCURRED,PATROL_DIVISION,AREA_NAME,CRIME_CODE,CRIME_DESCRIPTION,VICTIM_AGE,VICTIM_SEX,VICTIM_RACE,PREMISE,LAT,LON
145,2010-02-20,2010-02-19,2040,1,Central,624,BATTERY - SIMPLE ASSAULT,25-44,M,Other,SIDEWALK,34.048,-118.2577
146,2010-02-20,2010-02-19,2030,1,Central,624,BATTERY - SIMPLE ASSAULT,45-65,M,Other,STREET,34.048,-118.2577
147,2010-02-20,2010-02-20,100,1,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",UNKNOWN,M,Other,STREET,34.0439,-118.2514
148,2010-02-20,2010-02-20,230,1,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,25-44,F,Hispanic/Latin/Mexican,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.0453,-118.2499
149,2010-02-21,2010-02-21,500,1,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,25-44,F,Black,SINGLE FAMILY DWELLING,34.0431,-118.2536
150,2010-02-25,2010-02-25,,1,Central,310,BURGLARY,18-24,F,Other Asian,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.0617,-118.2469
151,2010-02-26,2010-02-25,2330,1,Central,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,18-24,F,Hispanic/Latin/Mexican,PARKING LOT,34.0394,-118.2496
152,2010-02-27,2010-02-27,1955,1,Central,946,OTHER MISCELLANEOUS CRIME,UNKNOWN,M,White,STREET,34.0445,-118.2523
153,2010-02-28,2010-02-28,,1,Central,624,BATTERY - SIMPLE ASSAULT,18-24,M,Hispanic/Latin/Mexican,SIDEWALK,34.0524,-118.2467
154,2010-03-01,2010-02-28,2200,1,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,25-44,F,Hispanic/Latin/Mexican,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.0389,-118.2643
155,2010-03-01,2010-03-01,305,1,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),25-44,M,White,OTHER BUSINESS,34.0459,-118.2579
156,2010-08-01,2010-08-01,250,1,Central,210,ROBBERY,25-44,M,Hispanic/Latin/Mexican,STREET,34.0384,-118.2646
157,2010-02-28,2010-02-28,1825,1,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,25-44,F,White,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",34.0485,-118.2447
158,2010-03-01,2010-03-01,100,1,Central,648,ARSON,UNKNOWN,M,Other,STREET,34.0435,-118.2427
159,2010-03-01,2010-03-01,410,1,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),25-44,M,Hispanic/Latin/Mexican,OTHER BUSINESS,34.0503,-118.2504
160,2010-03-06,2010-03-06,420,1,Central,121,"RAPE, FORCIBLE",25-44,F,Hispanic/Latin/Mexican,HOTEL,34.0535,-118.256
161,2010-03-07,2010-03-06,1930,1,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),25-44,M,Hispanic/Latin/Mexican,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.0695,-118.2324
162,2010-03-11,2010-03-11,2300,1,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),25-44,M,White,"VEHICLE, PASSENGER/TRUCK",34.0416,-118.262
163,2010-03-11,2010-03-11,2110,1,Central,624,BATTERY - SIMPLE ASSAULT,25-44,F,White,SIDEWALK,34.0446,-118.249
164,2010-03-12,2010-03-11,815,1,Central,624,BATTERY - SIMPLE ASSAULT,45-65,F,Hispanic/Latin/Mexican,MUNICIPAL BUS LINE INCLUDES LADOT/DASH,34.053000000000004,-118.2444
165,2010-03-12,2010-03-12,930,1,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",45-65,M,Hispanic/Latin/Mexican,STREET,34.0435,-118.2471
